Year,Round,Match Info,Date Time,Team1,Team2,Score1,Score2,q1_A,q2_A,q3_A,q4_A,q1_B,q2_B,q3_B,q4_B
2024,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",2/7/2024 1:00,France,People's Republic of China,16,9,3,4,2,7,7,3,4,2
2024,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",2/7/2024 2:30,Greece,Brazil,23,4,6,4,6,7,7,6,4,6
2024,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",2/9/2024 11:00,Greece,France,13,12,3,4,3,3,3,3,4,3
2024,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",2/9/2024 12:30,Brazil,People's Republic of China,8,10,3,2,1,2,2,3,2,1
2024,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",2/5/2024 8:00,Japan,Serbia,10,17,3,4,1,2,2,3,4,1
2024,group-c,"Men's Preliminary Round I - Group C Match 6
OFFICIAL",2/5/2024 9:30,Montenegro,United States of America,16,15,3,2,4,2,2,3,2,4
2024,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",2/7/2024 4:00,United States of America,Japan,18,5,4,4,4,6,6,4,4,4
2024,group-c,"Men's Preliminary Round I - Group C Match 12
OFFICIAL",2/7/2024 9:30,Serbia,Montenegro,14,6,4,2,5,3,3,4,2,5
2024,group-c,"Men's Preliminary Round I - Group C Match 18
OFFICIAL",2/9/2024 1:00,Montenegro,Japan,13,11,3,2,4,4,4,3,2,4
2024,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",2/9/2024 9:30,Serbia,United States of America,14,12,2,3,6,3,3,2,3,6
2024,group-d,"Men's Preliminary Round I - Group D Match 19
OFFICIAL",2/9/2024 2:30,Kazakhstan,Hungary,1,28,0,0,0,1,1,0,0,0
2024,group-d,"Men's Preliminary Round I - Group D Match 20
OFFICIAL",2/9/2024 4:00,Romania,Italy,10,16,3,4,2,1,1,3,4,2
2023,finals,"Men's Placement Match 3/4
OFFICIAL",7/29/2023 0:00,Serbia,Spain,6,9,3,2,0,1,1,3,2,0
2023,finals,"Men's Final Match 48
OFFICIAL",7/29/2023 5:00,Greece,Hungary,13,14,2,2,3,3,3,2,2,3
2023,semifinals,"Men's Semi Final Match 43
OFFICIAL",7/27/2023 4:00,Greece,Serbia,13,7,3,3,3,4,4,3,3,3
2023,semifinals,"Men's Semi Final Match 44
OFFICIAL",7/27/2023 5:30,Hungary,Spain,12,11,3,1,3,5,5,3,1,3
2023,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",7/25/2023 2:00,Greece,Montenegro,10,9,2,4,1,3,3,2,4,1
2023,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",7/25/2023 3:30,Italy,Serbia,14,15,3,2,4,2,2,3,2,4
2023,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",7/25/2023 5:00,Hungary,United States of America,13,12,4,3,3,3,3,4,3,3
2023,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",7/25/2023 6:30,Spain,France,7,6,1,1,2,3,3,1,1,2
2023,classification,"Men's Classification 13-16 Match 25
OFFICIAL",7/22/2023 20:00,Kazakhstan,People's Republic of China,12,5,1,4,3,4,4,1,4,3
2023,classification,"Men's Classification 13-16 Match 26
OFFICIAL",7/22/2023 21:30,Argentina,South Africa,15,6,3,4,5,3,3,3,4,5
2023,classification,"Men's Placement Match 15/16
OFFICIAL",7/24/2023 20:00,People's Republic of China,South Africa,16,8,3,4,4,5,5,3,4,4
2023,classification,"Men's Placement Match 13/14
OFFICIAL",7/24/2023 21:30,Kazakhstan,Argentina,7,11,1,1,3,2,2,1,1,3
2023,classification,"Men's Classification 9-12 Match 33
OFFICIAL",7/24/2023 23:00,Canada,Croatia,5,13,2,1,1,1,1,2,1,1
2023,classification,"Men's Classification 9-12 Match 34
OFFICIAL",7/25/2023 0:30,Australia,Japan,16,15,5,4,4,3,3,5,4,4
2023,classification,"Men's Placement Match 11/12
OFFICIAL",7/26/2023 20:00,Canada,Japan,11,23,3,3,2,3,3,3,3,2
2023,classification,"Men's Placement Match 9/10
OFFICIAL",7/26/2023 21:30,Croatia,Australia,17,10,3,5,6,3,3,3,5,6
2023,classification,"Men's Classification 5-8 Match 41
OFFICIAL",7/27/2023 1:00,Montenegro,Italy,6,10,1,1,2,2,2,1,1,2
2023,classification,"Men's Classification 5-8 Match 42
OFFICIAL",7/27/2023 2:30,United States of America,France,16,18,3,3,5,2,2,3,3,5
2023,classification,"Men's Placement Match 7/8
OFFICIAL",7/28/2023 22:30,Montenegro,United States of America,15,17,3,4,3,2,2,3,4,3
2023,classification,"Men's Placement Match 5/6
OFFICIAL",7/29/2023 3:30,Italy,France,16,9,1,3,7,5,5,1,3,7
2023,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",7/23/2023 1:00,United States of America,Canada,13,10,3,3,2,5,5,3,3,2
2023,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",7/23/2023 2:30,Australia,France,8,11,0,5,2,1,1,0,5,2
2023,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",7/23/2023 4:00,Croatia,Montenegro,12,13,3,0,5,4,4,3,0,5
2023,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",7/23/2023 5:30,Japan,Serbia,10,16,3,2,2,3,3,3,2,2
2023,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",7/16/2023 20:00,Kazakhstan,United States of America,5,18,1,4,0,0,0,1,4,0
2023,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",7/16/2023 21:30,Australia,Greece,9,13,2,1,3,3,3,2,1,3
2023,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",7/19/2023 4:30,Greece,Kazakhstan,18,2,6,5,4,3,3,6,5,4
2023,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",7/19/2023 7:30,United States of America,Australia,16,8,3,3,4,6,6,3,3,4
2023,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",7/21/2023 0:30,United States of America,Greece,14,15,3,6,2,3,3,3,6,2
2023,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",7/21/2023 3:00,Australia,Kazakhstan,22,6,7,3,4,8,8,7,3,4
2023,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",7/16/2023 23:00,Canada,People's Republic of China,13,10,4,3,4,2,2,4,3,4
2023,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",7/17/2023 0:30,France,Italy,6,13,3,2,0,1,1,3,2,0
2023,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",7/18/2023 20:00,Italy,Canada,24,6,6,4,8,6,6,6,4,8
2023,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",7/18/2023 21:30,People's Republic of China,France,8,17,1,4,0,3,3,1,4,0
2023,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",7/21/2023 4:30,People's Republic of China,Italy,5,18,2,1,2,0,0,2,1,2
2023,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",7/21/2023 7:30,France,Canada,15,11,5,5,3,2,2,5,5,3
2022,finals,"Men's Placement Match 3/4
OFFICIAL",7/3/2022 8:30,Greece,Croatia,9,7,1,4,3,1,1,1,4,3
2022,finals,"Men's Final Match 48
OFFICIAL",7/3/2022 14:00,Italy,Spain,14,15,3,0,3,3,3,3,0,3
2022,semifinals,"Men's Semi Final Match 43
OFFICIAL",7/1/2022 10:00,Italy,Greece,11,10,4,2,1,4,4,4,2,1
2022,semifinals,"Men's Semi Final Match 44
OFFICIAL",7/1/2022 13:30,Spain,Croatia,10,5,3,2,2,3,3,3,2,2
2022,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",6/29/2022 7:00,Greece,United States of America,16,11,3,4,3,6,6,3,4,3
2022,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",6/29/2022 10:00,Serbia,Croatia,12,14,1,3,5,3,3,1,3,5
2022,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",6/29/2022 13:30,Spain,Montenegro,7,6,2,3,1,1,1,2,3,1
2022,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",6/29/2022 15:00,Hungary,Italy,10,11,3,2,1,4,4,3,2,1
2022,classification,"Men's Classification 13-16 Match 25
OFFICIAL",6/27/2022 11:00,Brazil,Germany,9,10,2,3,3,1,1,2,3,3
2022,classification,"Men's Placement Match 13/14
OFFICIAL",6/29/2022 9:30,Germany,Kazakhstan,16,7,4,4,3,5,5,4,4,3
2022,classification,"Men's Classification 9-12 Match 33
OFFICIAL",6/29/2022 11:00,Japan,Australia,15,7,2,5,5,3,3,2,5,5
2022,classification,"Men's Classification 9-12 Match 34
OFFICIAL",6/29/2022 12:30,Georgia,South Africa,20,7,3,5,7,5,5,3,5,7
2022,classification,"Men's Classification 5-8 Match 42
OFFICIAL",7/1/2022 8:30,Montenegro,Serbia,7,10,2,2,2,1,1,2,2,2
2022,classification,"Men's Placement Match 11/12
OFFICIAL",7/1/2022 11:00,Australia,South Africa,19,4,3,6,4,6,6,3,6,4
2022,classification,"Men's Placement Match 9/10
OFFICIAL",7/1/2022 12:30,Japan,Georgia,16,15,3,7,2,4,4,3,7,2
2022,classification,"Men's Classification 5-8 Match 41
OFFICIAL",7/1/2022 15:00,Hungary,United States of America,15,16,4,2,2,3,3,4,2,2
2022,classification,"Men's Placement Match 7/8
OFFICIAL",7/3/2022 7:00,Hungary,Montenegro,8,6,1,4,2,1,1,1,4,2
2022,classification,"Men's Placement Match 5/6
OFFICIAL",7/3/2022 11:00,United States of America,Serbia,10,13,3,3,1,3,3,3,3,1
2022,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",6/27/2022 8:00,Montenegro,Japan,10,9,3,2,3,2,2,3,2,3
2022,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",6/27/2022 9:30,Georgia,Croatia,7,13,2,2,0,3,3,2,2,0
2022,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",6/27/2022 11:00,Italy,Australia,17,6,4,3,4,6,6,4,3,4
2022,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",6/27/2022 12:30,South Africa,United States of America,2,24,0,0,0,2,2,0,0,0
2022,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",6/21/2022 13:30,Brazil,Georgia,10,14,2,3,3,2,2,2,3,3
2022,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",6/21/2022 15:00,Montenegro,Hungary,8,12,3,1,2,2,2,3,1,2
2022,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",6/23/2022 13:30,Georgia,Montenegro,9,10,1,3,3,2,2,1,3,3
2022,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",6/23/2022 15:00,Hungary,Brazil,20,6,7,4,4,5,5,7,4,4
2022,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",6/25/2022 13:30,Brazil,Montenegro,5,20,0,2,0,3,3,0,2,0
2022,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",6/25/2022 15:00,Hungary,Georgia,18,14,3,7,4,4,4,3,7,4
2022,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",6/21/2022 12:00,Germany,Japan,11,12,2,2,2,5,5,2,2,2
2022,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",6/21/2022 13:30,Greece,Croatia,8,8,4,1,2,1,1,4,1,2
2022,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",6/23/2022 12:00,Croatia,Germany,13,9,4,4,2,3,3,4,4,2
2022,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",6/23/2022 13:30,Japan,Greece,7,18,1,2,2,2,2,1,2,2
2022,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",6/25/2022 12:00,Japan,Croatia,13,21,3,6,2,2,2,3,6,2
2022,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",6/25/2022 13:30,Greece,Germany,16,8,4,5,4,3,3,4,5,4
2022,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",6/21/2022 12:00,South Africa,Italy,4,22,2,0,1,1,1,2,0,1
2022,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",6/23/2022 12:00,Spain,South Africa,28,2,7,7,6,8,8,7,7,6
2022,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",6/25/2022 12:00,Italy,Spain,12,14,4,6,2,0,0,4,6,2
2022,group-d,"Men's Preliminary Round I - Group D Match 7
OFFICIAL",6/21/2022 12:00,Australia,Kazakhstan,10,4,1,3,3,3,3,1,3,3
2022,group-d,"Men's Preliminary Round I - Group D Match 8
OFFICIAL",6/21/2022 13:30,United States of America,Serbia,13,17,5,2,3,3,3,5,2,3
2022,group-d,"Men's Preliminary Round I - Group D Match 13
OFFICIAL",6/23/2022 12:00,Serbia,Australia,6,5,1,2,2,1,1,1,2,2
2022,group-d,"Men's Preliminary Round I - Group D Match 14
OFFICIAL",6/23/2022 13:30,Kazakhstan,United States of America,4,17,1,2,1,0,0,1,2,1
2022,group-d,"Men's Preliminary Round I - Group D Match 19
OFFICIAL",6/25/2022 12:00,Kazakhstan,Serbia,3,22,0,1,0,2,2,0,1,0
2022,group-d,"Men's Preliminary Round I - Group D Match 20
OFFICIAL",6/25/2022 13:30,United States of America,Australia,14,9,4,4,4,2,2,4,4,4
2021,finals,"5th-6th Place
OFFICIAL",7/1/2021 6:45,Kazakhstan,Japan,10,17,2,5,2,1,1,2,5,2
2021,finals,"7th-8th Place
OFFICIAL",7/1/2021 8:30,Georgia,France,5,10,1,1,1,2,2,1,1,1
2021,finals,"Bronze Medal Match
OFFICIAL",7/1/2021 10:15,Greece,Italy,10,8,3,2,4,1,1,3,2,4
2021,finals,"Gold Medal Match
OFFICIAL",7/1/2021 12:00,Montenegro,United States of America,9,8,2,2,3,2,2,2,2,3
2021,semifinals,"Class. 5th-8th
OFFICIAL",6/30/2021 6:45,France,Japan,10,16,4,1,5,0,0,4,1,5
2021,semifinals,"Class. 5th-8th
OFFICIAL",6/30/2021 8:30,Georgia,Kazakhstan,15,16,2,5,2,1,1,2,5,2
2021,semifinals,"Semifinal
OFFICIAL",6/30/2021 10:15,Greece,Montenegro,4,8,2,1,0,1,1,2,1,0
2021,semifinals,"Semifinal
OFFICIAL",6/30/2021 12:00,United States of America,Italy,10,8,4,2,3,1,1,4,2,3
2021,quarterfinals,"Quarterfinal
OFFICIAL",6/29/2021 6:45,France,United States of America,11,12,5,0,4,2,2,5,0,4
2021,quarterfinals,"Quarterfinal
OFFICIAL",6/29/2021 8:30,Greece,Georgia,20,8,5,5,6,4,4,5,5,6
2021,quarterfinals,"Quarterfinal
OFFICIAL",6/29/2021 10:15,Italy,Japan,15,12,4,5,3,3,3,4,5,3
2021,quarterfinals,"Quarterfinal
OFFICIAL",6/29/2021 12:00,Kazakhstan,Montenegro,6,18,2,0,3,1,1,2,0,3
2021,group-a,"Group A Match 1
OFFICIAL",6/26/2021 10:15,Greece,France,10,8,2,3,2,3,3,2,3,2
2021,group-a,"Group A Match 2
OFFICIAL",6/26/2021 12:00,Kazakhstan,Italy,11,17,1,3,3,4,4,1,3,3
2021,group-a,"Group B Match 3
OFFICIAL",6/27/2021 6:45,Kazakhstan,France,11,12,2,2,3,4,4,2,2,3
2021,group-a,"Group A Match 4
OFFICIAL",6/27/2021 10:15,Italy,Greece,11,8,1,4,4,2,2,1,4,4
2021,group-a,"Group B Match 5
OFFICIAL",6/28/2021 6:45,Greece,Kazakhstan,14,9,3,5,3,3,3,3,5,3
2021,group-a,"Group A Match 6
OFFICIAL",6/28/2021 12:00,France,Italy,7,14,1,4,0,2,2,1,4,0
2021,group-b,"Group B Match 1
OFFICIAL",6/26/2021 6:45,Montenegro,United States of America,10,6,0,5,3,2,2,0,5,3
2021,group-b,"Group B Match 2
OFFICIAL",6/26/2021 8:30,Japan,Georgia,12,13,3,2,6,1,1,3,2,6
2021,group-b,"Group A Match 3
OFFICIAL",6/27/2021 8:30,Georgia,Montenegro,8,19,2,4,1,1,1,2,4,1
2021,group-b,"Group B Match 4
OFFICIAL",6/27/2021 12:00,Japan,United States of America,7,15,2,2,2,1,1,2,2,2
2021,group-b,"Group B Match 6
OFFICIAL",6/28/2021 8:30,United States of America,Georgia,13,9,3,5,2,3,3,3,5,2
2021,group-b,"Group A Match 5
OFFICIAL",6/28/2021 10:15,Montenegro,Japan,16,8,4,4,5,3,3,4,4,5
